Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01007112",214,2,178,16,17,-,-,1
"S01007113",231,1,207,13,6,-,1,3
"S01007114",378,4,317,41,8,1,-,7
"S01007115",257,1,230,15,5,1,1,4
"S01007116",315,-,271,17,20,1,1,5
"S01007117",177,-,159,10,5,-,-,3
"S01007118",282,6,69,194,11,-,-,2
"S01007119",330,5,87,227,6,-,1,4
"S01007120",483,16,310,148,2,1,1,5
"S01007121",294,7,183,97,1,-,2,4
"S01007122",287,2,236,30,5,1,1,12
"S01007123",313,3,265,32,3,4,-,6
"S01007124",380,3,331,36,4,-,1,5
"S01007125",351,4,300,21,12,2,1,11
"S01007126",399,2,332,47,-,4,-,14
"S01007127",446,21,208,203,5,1,2,6
"S01007128",411,2,305,95,1,3,-,5
"S01007129",374,6,262,26,63,3,6,8
"S01007130",280,3,235,18,12,-,1,11
"S01007131",341,-,316,11,10,1,-,3
"S01007132",297,2,268,15,2,-,1,9
"S01007133",262,6,96,22,112,8,8,10
"S01007134",317,9,135,55,88,10,6,14
"S01007135",221,4,32,43,109,5,19,9
"S01007136",185,2,30,4,134,4,3,8
"S01007137",248,1,228,6,10,-,-,3
"S01007138",243,3,46,41,115,12,14,12
"S01007139",324,5,32,99,158,8,13,9
"S01007140",405,5,44,71,224,13,19,29
"S01007141",249,12,36,52,127,4,12,6
"S01007142",153,-,148,-,3,-,1,1
"S01007143",203,3,192,1,1,1,1,4
"S01007144",240,13,86,25,78,16,10,12
"S01007145",408,5,382,14,-,-,1,6
"S01007146",334,5,270,57,1,-,-,1
"S01007147",305,3,274,19,4,-,1,4
"S01007148",204,1,195,3,1,1,-,3
"S01007149",237,-,214,20,1,-,-,2
"S01007150",350,2,299,39,3,1,-,6
"S01007151",331,5,308,13,1,-,2,2
"S01007152",237,1,220,8,2,-,2,4
"S01007153",286,2,248,31,2,-,-,3
"S01007154",453,14,302,126,-,-,5,6
"S01007155",305,3,272,24,1,1,-,4
"S01007156",308,8,186,68,30,5,6,5
"S01007157",279,3,228,41,3,-,1,3
"S01007158",386,6,344,25,3,1,1,6
"S01007159",407,7,350,35,-,3,-,12
"S01007160",377,5,316,37,2,1,1,15
"S01007161",317,6,270,26,2,1,-,12
"S01007162",271,3,193,69,3,-,-,3
"S01007163",392,7,333,39,4,1,-,8
"S01007164",257,4,230,21,1,-,-,1
"S01007165",330,3,305,11,5,1,-,5
"S01007166",328,5,303,11,-,-,-,9
"S01007167",331,2,312,8,4,-,-,5
"S01007168",415,3,400,6,2,1,-,3
"S01007169",326,4,299,11,5,4,2,1
"S01007170",268,10,39,30,161,7,11,10
"S01007171",364,36,100,34,133,14,16,31
"S01007172",333,4,91,79,120,8,15,16
"S01007173",327,4,297,15,5,2,-,4
"S01007174",286,2,257,11,7,-,1,8
"S01007175",294,1,246,34,6,1,-,6
"S01007176",290,1,171,104,10,1,-,3
"S01007177",303,5,112,160,18,1,-,7
"S01007178",505,5,261,224,7,1,1,6
"S01007179",384,1,347,19,12,-,1,4
"S01007180",347,3,304,28,7,-,3,2
"S01007181",317,-,278,25,7,-,1,6
"S01007182",526,13,389,105,8,-,1,10
"S01007183",560,11,445,84,7,-,3,10
"S01007184",594,21,355,194,5,2,1,16
"S01007185",422,5,301,104,1,1,-,10
"S01007186",327,9,158,156,-,-,-,4
"S01007187",498,11,316,156,2,-,1,12
"S01007188",328,8,236,74,-,1,2,7
"S01007189",461,13,301,124,7,-,-,16
"S01007190",378,2,274,87,3,4,2,6
"S01007191",274,13,132,114,6,1,-,8
"S01007192",286,5,194,64,3,2,-,18
"S01007193",289,17,143,109,6,2,1,11
"S01007194",276,7,189,66,1,1,-,12
"S01007195",237,4,188,34,5,-,-,6
"S01007196",278,3,233,23,2,-,3,14
"S01007197",286,4,145,123,2,-,1,11
"S01007198",229,6,160,50,1,1,-,11
"S01007199",306,5,235,51,2,-,-,13
"S01007200",405,6,306,76,3,3,2,9
"S01007201",350,5,262,71,4,-,-,8
"S01007202",350,6,217,98,18,-,-,11
"S01007203",250,2,222,16,1,1,2,6
"S01007204",426,23,53,110,180,14,21,25
"S01007205",263,6,47,36,144,12,5,13
"S01007206",212,11,154,34,4,3,1,5
"S01007207",420,4,326,69,8,3,2,8
"S01007208",550,23,321,187,2,1,2,14
"S01007209",389,13,268,97,2,-,1,8
"S01007210",387,11,298,65,-,3,-,10
"S01007211",498,21,292,171,-,1,-,13
"S01007212",259,10,186,53,5,1,-,4
"S01007213",423,10,334,63,5,-,-,11
"S01007214",424,7,246,160,4,1,1,5
"S01007215",397,12,285,86,1,1,1,11
"S01007216",315,4,274,27,1,-,2,7
"S01007217",460,6,313,113,8,3,2,15
"S01007218",353,1,326,11,5,1,3,6
"S01007219",386,2,242,129,7,-,-,6
"S01007220",330,9,214,95,5,2,1,4
"S01007221",273,3,223,15,23,1,1,7
"S01007222",320,1,273,14,20,-,2,10
"S01007223",200,1,170,4,24,1,-,-
"S01007224",279,7,231,28,6,4,-,3
"S01007225",369,10,68,53,181,15,18,24
"S01007226",322,17,73,37,144,15,15,21
"S01007227",425,5,321,72,14,7,1,5
"S01007228",260,10,36,44,124,24,6,16
"S01007229",455,20,100,45,227,27,10,26
"S01007230",358,5,196,142,3,3,1,8
"S01007231",372,7,204,148,2,2,1,8
"S01007232",381,4,155,207,6,-,1,8
"S01007233",347,10,221,100,6,6,-,4
"S01007234",263,4,202,42,3,1,4,7
"S01007235",407,11,237,143,5,2,1,8
"S01007236",305,8,222,66,5,-,1,3
"S01007237",325,5,276,33,4,-,-,7
"S01007238",417,2,314,81,11,-,-,9
"S01007239",367,3,311,32,11,2,-,8
"S01007240",233,11,45,16,121,13,12,15
"S01007241",242,8,36,31,128,22,5,12
"S01007242",447,10,334,64,19,7,2,11
"S01007243",255,6,200,24,11,4,1,9
"S01007244",303,6,82,34,123,12,21,25
"S01007245",310,3,157,65,74,4,1,6
"S01007246",237,4,119,19,63,10,14,8
"S01007247",279,10,35,92,108,12,11,11
"S01007248",310,-,282,17,7,1,-,3
"S01007249",174,4,150,14,2,1,-,3
"S01007250",432,9,227,181,9,-,2,4
"S01007251",250,2,211,28,3,-,-,6
"S01007252",315,7,221,69,11,2,1,4
"S01007253",358,3,279,37,29,-,-,10
"S01007254",401,9,270,105,5,3,3,6
"S01007255",374,5,274,70,8,3,1,13
"S01007256",407,9,262,121,4,2,1,8
"S01007257",296,7,188,87,5,-,-,9
"S01007258",410,6,296,81,12,3,3,9
"S01007259",414,5,289,99,6,1,1,13
"S01007260",418,10,282,91,7,4,-,24
"S01007261",356,-,321,25,4,1,1,4
"S01007262",301,-,231,54,4,2,-,10
"S01007263",366,4,322,28,3,1,3,5
"S01007264",339,3,236,85,7,2,-,6
"S01007265",472,3,362,92,2,3,2,8
"S01007266",305,7,186,88,11,1,-,12
"S01007267",222,6,48,35,99,14,6,14
"S01007268",249,13,44,25,118,10,14,25
"S01007269",224,2,128,43,33,6,2,10
"S01007270",205,10,60,32,76,13,3,11
"S01007271",448,9,367,43,8,3,2,16
"S01007272",417,4,259,136,5,2,1,10
"S01007273",296,2,257,20,12,1,-,4
"S01007274",456,18,300,114,7,2,2,13
"S01007275",243,2,187,46,3,-,2,3
"S01007276",369,2,309,45,3,1,-,9
"S01007277",327,2,283,17,18,-,1,6
"S01007278",227,-,189,12,21,-,2,3
"S01007279",240,9,25,21,140,11,7,27
"S01007280",237,8,31,28,124,22,5,19
"S01007281",361,10,38,46,208,32,14,13
"S01007282",228,12,21,42,107,21,7,18
"S01007283",482,7,359,53,44,4,4,11
"S01007284",403,37,8,124,135,53,10,36
"S01007285",358,32,12,101,139,43,9,22
"S01007286",460,19,10,258,94,43,5,31
"S01007287",281,46,7,77,106,27,6,12
"S01007288",252,42,9,58,92,27,4,20
"S01007289",323,12,95,117,53,21,9,16
"S01007290",276,7,6,196,15,16,33,3
"S01007291",329,11,48,226,22,15,3,4
"S01007292",320,2,12,220,76,5,2,3
"S01007293",310,7,9,279,3,2,5,5
"S01007294",378,13,168,139,39,9,1,9
"S01007295",307,9,86,190,1,1,1,19
"S01007296",354,31,58,254,4,4,-,3
"S01007297",444,33,196,168,22,6,4,15
"S01007298",244,10,34,151,22,17,4,6
"S01007299",387,27,115,176,20,31,3,15
"S01007300",241,10,14,149,13,44,2,9
"S01007301",311,17,33,95,114,16,9,27
"S01007302",280,9,6,102,58,82,6,17
"S01007303",366,21,49,116,114,26,13,27
"S01007304",310,20,19,84,103,43,9,32
"S01007305",305,9,31,89,112,42,5,17
"S01007306",342,15,34,131,83,45,9,25
"S01007307",337,22,43,99,108,27,14,24
"S01007308",339,19,34,84,107,59,12,24
"S01007309",277,36,22,98,74,29,6,12
"S01007310",380,21,25,142,92,50,7,43
"S01007311",343,11,14,169,96,34,5,14
"S01007312",355,11,31,130,109,40,13,21
"S01007313",436,49,40,131,120,50,9,37
"S01007314",292,14,13,138,87,26,4,10
"S01007315",434,12,20,273,79,35,5,10
"S01007316",449,15,17,265,74,34,20,24
"S01007317",266,13,11,174,42,15,2,9
"S01007318",274,11,17,141,58,38,1,8
"S01007319",369,16,28,204,77,30,2,12
"S01007320",353,29,30,112,103,42,13,24
"S01007321",271,29,26,67,76,43,2,28
"S01007322",376,10,29,215,63,44,5,10
"S01007323",227,5,16,130,35,22,5,14
"S01007324",167,17,-,57,54,19,5,15
"S01007325",393,20,11,106,132,70,11,43
"S01007326",346,11,5,94,155,47,3,31
"S01007327",350,12,11,153,86,59,7,22
"S01007328",390,10,9,97,94,150,1,29
"S01007329",314,17,20,103,88,53,7,26
"S01007330",375,22,44,87,128,52,9,33
"S01007331",419,30,37,183,116,26,12,15
"S01007332",219,23,28,69,67,13,7,12
"S01007333",367,12,225,77,38,6,4,5
"S01007334",391,14,263,92,2,1,1,18
"S01007335",412,8,302,77,6,6,1,12
"S01007336",302,25,163,98,7,3,1,5
"S01007337",380,19,160,185,6,3,-,7
"S01007338",302,1,235,43,10,4,2,7
"S01007339",302,10,120,123,34,3,5,7
"S01007340",273,11,222,32,2,3,-,3
"S01007341",394,9,348,30,4,2,-,1
"S01007342",359,9,316,17,8,2,1,6
"S01007343",302,28,69,66,109,6,6,18
"S01007344",242,12,201,17,1,2,1,8
"S01007345",315,3,256,20,27,1,1,7
"S01007346",351,9,280,49,3,4,-,6
"S01007347",351,3,312,29,2,-,2,3
"S01007348",280,3,222,47,1,1,1,5
"S01007349",189,-,149,32,2,1,-,5
"S01007350",331,17,274,27,1,2,4,6
"S01007351",355,24,33,154,78,27,6,33
"S01007352",230,17,12,54,89,32,3,23
"S01007353",282,8,196,43,30,4,-,1
"S01007354",403,11,303,74,6,2,1,6
"S01007355",464,31,68,171,104,42,19,29
"S01007356",350,15,43,123,91,31,22,25
"S01007357",388,15,76,140,93,28,14,22
"S01007358",368,18,56,104,104,51,24,11
"S01007359",371,3,193,69,93,5,2,6
"S01007360",236,7,171,44,6,1,1,6
"S01007361",507,8,417,63,6,1,-,12
"S01007362",316,4,181,126,4,-,1,-
"S01007363",348,8,273,51,3,2,1,10
"S01007364",409,10,287,95,3,3,2,9
"S01007365",215,6,173,25,3,2,1,5
"S01007366",276,9,213,48,-,1,-,5
"S01007367",295,14,214,57,1,-,-,9
"S01007368",233,2,190,30,2,-,1,8
"S01007369",378,7,314,47,2,-,-,8
"S01007370",389,11,321,44,3,1,1,8
"S01007371",320,3,277,27,3,1,1,8
"S01007372",374,1,301,56,5,2,2,7
"S01007373",283,23,85,31,99,13,17,15
"S01007374",217,13,44,45,72,21,17,5
"S01007375",216,17,57,27,90,7,12,6
"S01007376",371,28,55,214,34,16,17,7
"S01007377",279,15,37,53,137,10,12,15
"S01007378",231,12,141,16,31,6,12,13
"S01007379",234,2,196,19,6,1,1,9
"S01007380",229,4,193,13,7,3,4,5
"S01007381",191,2,173,8,6,-,-,2
"S01007382",281,6,230,31,4,1,8,1
"S01007383",349,10,300,26,2,1,2,8
"S01007384",332,7,307,10,1,3,-,4
"S01007385",404,9,365,23,2,1,1,3
"S01007386",337,8,270,38,11,1,1,8
"S01007387",289,2,278,2,1,2,-,4
"S01007388",256,1,243,7,2,1,-,2
"S01007389",198,1,182,7,3,-,-,5
"S01007390",193,-,180,6,2,-,-,5
"S01007391",223,1,209,5,5,2,-,1
"S01007392",200,-,191,3,3,-,-,3
"S01007393",308,3,265,34,2,-,2,2
"S01007394",335,8,249,69,2,-,-,7
"S01007395",516,37,365,95,4,1,3,11
"S01007396",477,22,371,75,1,1,1,6
"S01007397",443,11,380,34,3,2,2,11
"S01007398",279,3,261,6,-,-,1,8
"S01007399",324,15,253,46,1,-,1,8
"S01007400",344,11,264,53,4,4,1,7
"S01007401",290,5,269,9,-,-,1,6
"S01007402",260,4,248,6,-,-,-,2
"S01007403",261,1,239,10,4,-,1,6
"S01007404",193,8,29,44,79,12,9,12
"S01007405",277,7,213,13,30,3,3,8
"S01007406",252,4,216,10,12,1,1,8
"S01007407",315,1,291,8,3,3,1,8
"S01007408",256,5,226,6,5,4,1,9
"S01007409",308,-,292,12,-,1,-,3
"S01007410",291,3,235,48,-,2,1,2
"S01007411",437,4,357,65,-,2,1,8
"S01007412",212,1,196,7,-,6,-,2
"S01007413",360,3,331,8,2,-,1,15
"S01007414",244,1,237,1,-,-,1,4
"S01007415",374,1,356,6,-,6,2,3
"S01007416",223,1,214,2,-,1,1,4
"S01007417",406,1,392,3,1,-,-,9
"S01007418",292,2,267,10,-,1,1,11
"S01007419",332,-,319,4,-,-,-,9
"S01007420",296,1,263,11,11,3,1,6
"S01007421",282,-,276,2,-,2,1,1
"S01007422",261,5,245,5,2,-,2,2
"S01007423",325,4,310,5,-,1,-,5
"S01007424",340,1,325,2,1,-,4,7
"S01007425",373,3,349,13,1,1,2,4
"S01007426",344,2,314,18,-,-,1,9
"S01007427",309,1,278,19,-,6,1,4
"S01007428",465,9,380,62,2,3,2,7
"S01007429",324,3,270,45,1,1,-,4
"S01007430",211,6,169,33,1,-,-,2
"S01007431",218,-,211,3,1,1,1,1
"S01007432",354,1,330,6,4,4,2,7
"S01007433",350,4,299,7,21,7,5,7
"S01007434",242,3,220,11,1,1,-,6
"S01007435",327,8,243,69,-,1,-,6
"S01007436",356,5,259,82,1,1,1,7
"S01007437",230,2,182,37,1,-,4,4
"S01007438",338,7,258,60,1,1,1,10
"S01007439",337,1,281,46,-,6,-,3
"S01007440",295,-,284,8,-,1,-,2
"S01007441",226,2,216,3,1,-,-,4
"S01007442",198,-,196,1,-,-,-,1
"S01007443",387,1,336,18,19,3,4,6
"S01007444",427,1,382,9,18,3,6,8
"S01007445",265,1,246,10,4,-,2,2
"S01007446",201,-,153,7,32,3,3,3
"S01007447",209,4,49,34,95,5,15,7
"S01007448",367,3,289,12,40,11,7,5
"S01007449",458,1,442,7,1,2,-,5
"S01007450",332,-,307,14,1,3,1,6
"S01007451",283,1,260,1,1,-,10,10
"S01007452",209,1,167,16,12,8,-,5
"S01007453",212,-,203,5,2,-,1,1
"S01007454",190,2,171,5,7,3,1,1
"S01007455",388,-,360,18,1,-,-,9
"S01007456",394,1,377,6,1,2,-,7
"S01007457",465,6,344,102,1,2,4,6
"S01007458",224,1,207,8,-,1,2,5
"S01007459",291,2,273,6,1,1,6,2
"S01007460",345,6,304,18,1,1,3,12
"S01007461",372,2,331,21,1,-,-,17
"S01007462",371,2,339,19,2,2,-,7
"S01007463",377,2,322,24,-,2,4,23
"S01007464",313,2,259,37,-,-,-,15
"S01007465",380,6,226,102,-,-,14,32
"S01007466",581,14,402,148,-,-,1,16
"S01007467",523,1,462,43,-,1,-,16
"S01007468",333,12,203,93,14,1,2,8
"S01007469",250,3,201,36,1,2,4,3
"S01007470",335,3,297,26,-,1,3,5
"S01007471",203,2,189,9,-,-,-,3
"S01007472",273,2,254,13,-,-,-,4
"S01007473",227,1,206,11,-,2,-,7
"S01007474",213,1,209,2,-,-,-,1
"S01007475",257,5,226,21,-,2,-,3
"S01007476",317,3,290,18,2,2,1,1
"S01007477",247,-,235,6,1,1,-,4
"S01007478",433,4,389,27,4,-,-,9
"S01007479",275,7,243,20,-,1,-,4
"S01007480",327,1,276,47,-,-,-,3
"S01007481",394,-,256,50,71,3,3,11
"S01007482",253,2,160,64,19,4,-,4
"S01007483",340,3,278,35,14,3,1,6
"S01007484",285,1,165,86,12,18,-,3
"S01007485",219,1,159,37,1,16,2,3
"S01007486",255,1,198,20,2,25,2,7
"S01007487",498,23,296,155,5,2,2,15
"S01007488",483,7,360,87,12,3,-,14
"S01007489",406,2,309,37,35,11,1,11
"S01007490",378,4,306,49,9,5,-,5
"S01007491",460,5,326,96,11,4,-,18
"S01007492",332,1,191,97,27,5,1,10
"S01007493",368,4,215,116,21,4,1,7
"S01007494",239,11,15,51,118,24,4,16
"S01007495",345,14,45,38,187,23,16,22
"S01007496",470,14,57,119,230,22,9,19
"S01007497",264,10,35,69,109,22,7,12
"S01007498",416,9,172,107,94,17,8,9
"S01007499",358,12,26,107,136,56,6,15
"S01007500",288,13,21,109,103,28,4,10
"S01007501",325,17,25,75,154,26,4,24
"S01007502",248,13,40,53,97,25,11,9
"S01007503",482,7,42,135,234,32,8,24
"S01007504",321,5,30,73,156,33,10,14
"S01007505",179,5,22,41,77,16,3,15
"S01007506",237,13,28,30,134,18,5,9
"S01007507",455,20,19,186,173,35,5,17
"S01007508",329,13,20,83,169,30,4,10
"S01007509",274,22,25,48,142,17,9,11
"S01007510",459,11,35,105,205,57,16,30
"S01007511",370,8,14,163,125,43,4,13
"S01007512",247,14,12,88,99,18,6,10
"S01007513",468,4,312,100,33,11,-,8
"S01007514",247,6,156,68,7,4,1,5
"S01007515",254,1,173,34,26,1,5,14
"S01007516",257,3,182,50,10,5,1,6
"S01007517",224,4,89,84,31,3,10,3
"S01007518",381,2,277,68,12,8,4,10
"S01007519",215,10,55,16,93,22,8,11
"S01007520",446,22,285,37,66,15,1,20
"S01007521",202,16,38,23,99,10,2,14
"S01007522",476,8,303,87,51,7,3,17
"S01007523",229,11,39,38,112,9,5,15
"S01007524",385,17,126,54,141,20,6,21
"S01007525",237,12,20,100,82,7,2,14
"S01007526",385,8,282,69,8,4,1,13
"S01007527",374,4,287,46,14,8,1,14
"S01007528",363,9,250,75,8,4,1,16
"S01007529",308,1,265,22,12,2,-,6
"S01007530",223,12,49,23,114,5,4,16
"S01007531",313,24,29,63,146,11,6,34
"S01007532",248,6,89,24,92,14,5,18
"S01007533",222,11,46,31,111,4,4,15
"S01007534",428,4,374,32,11,-,2,5
"S01007535",492,4,377,81,18,2,-,10
"S01007536",443,6,347,66,6,3,1,14
"S01007537",518,8,397,81,13,1,1,17
"S01007538",366,11,99,46,157,17,8,28
"S01007539",331,3,239,30,49,-,-,10
"S01007540",450,6,303,118,12,-,2,9
"S01007541",337,1,291,19,15,2,1,8
"S01007542",416,8,345,39,10,5,-,9
"S01007543",481,5,345,101,21,1,1,7
"S01007544",496,21,52,57,307,12,13,34
"S01007545",359,10,121,39,145,19,3,22
"S01007546",223,5,112,18,61,4,8,15
"S01007547",239,12,15,32,147,11,4,18
"S01007548",304,9,21,106,130,15,3,20
"S01007549",298,7,31,87,129,9,11,24
"S01007550",449,20,24,131,201,34,8,31
"S01007551",395,18,31,54,218,38,11,25
"S01007552",401,5,331,17,18,20,-,10
"S01007553",376,2,352,4,1,9,1,7
"S01007554",221,-,196,3,3,14,1,4
"S01007555",238,3,156,5,43,17,6,8
"S01007556",227,3,176,41,6,-,-,1
"S01007557",478,1,436,21,6,8,2,4
"S01007558",189,7,24,13,113,17,4,11
"S01007559",308,9,16,32,205,19,9,18
"S01007560",440,6,77,78,229,33,9,8
"S01007561",357,6,26,127,149,20,7,22
"S01007562",365,22,23,83,176,20,12,29
"S01007563",396,10,31,63,223,27,8,34
"S01007564",323,10,35,45,176,21,8,28
"S01007565",396,13,37,74,210,34,8,20
"S01007566",275,9,22,29,151,31,5,28
"S01007567",233,5,26,22,153,12,1,14
"S01007568",295,5,41,35,169,21,7,17
"S01007569",342,15,57,45,172,16,12,25
"S01007570",295,1,146,24,100,8,8,8
"S01007571",240,5,22,34,148,8,7,16
"S01007572",370,3,245,36,65,4,10,7
"S01007573",329,1,315,3,5,-,-,5
"S01007574",438,7,328,83,7,2,2,9
"S01007575",452,8,337,82,8,3,1,13
"S01007576",344,5,290,31,4,1,-,13
"S01007577",296,6,262,15,4,2,-,7
"S01007578",332,4,276,32,5,3,-,12
"S01007579",298,5,249,35,4,-,2,3
"S01007580",293,3,253,23,8,1,1,4
"S01007581",198,1,166,21,5,-,1,4
"S01007582",285,6,235,32,2,1,-,9
"S01007583",519,8,463,22,5,3,1,17
"S01007584",279,3,216,40,4,3,3,10
"S01007585",438,4,393,22,12,1,1,5
"S01007586",377,4,305,51,4,-,1,12
"S01007587",306,3,238,51,7,-,2,5
"S01007588",360,2,317,21,13,1,-,6
"S01007589",408,5,334,54,5,1,-,9
"S01007590",289,1,265,12,9,1,-,1
"S01007591",272,6,238,19,1,-,1,7
"S01007592",353,9,191,138,1,2,-,12
"S01007593",453,3,360,36,39,3,3,9
"S01007594",334,6,216,21,64,9,5,13
"S01007595",443,16,30,92,238,23,17,27
"S01007596",275,25,33,44,140,18,4,11
"S01007597",254,4,37,34,144,7,10,18
"S01007598",266,10,25,42,163,10,5,11
"S01007599",361,4,202,74,49,21,1,10
"S01007600",510,12,329,149,8,1,2,9
"S01007601",300,15,187,89,4,-,1,4
"S01007602",269,13,221,21,7,3,-,4
"S01007603",309,7,265,17,15,1,1,3
"S01007604",389,2,326,44,8,2,-,7
"S01007605",364,3,292,55,9,-,-,5
"S01007606",314,6,250,45,2,1,3,7
"S01007607",294,5,269,12,6,1,-,1
"S01007608",308,2,265,26,10,1,1,3
"S01007609",447,11,351,64,5,1,1,14
"S01007610",255,13,174,61,-,2,-,5
"S01007611",538,21,369,121,3,-,-,24
"S01007612",609,39,331,214,6,2,-,17
"S01007613",324,4,270,20,20,2,1,7
"S01007614",358,2,331,10,9,1,-,5
"S01007615",515,12,427,56,7,2,1,10
"S01007616",387,8,323,42,2,-,4,8
"S01007617",234,2,191,27,6,1,-,7
"S01007618",294,1,239,46,2,-,-,6
"S01007619",280,4,234,31,4,3,-,4
"S01007620",271,3,230,21,9,2,-,6
"S01007621",291,9,253,22,1,4,-,2
"S01007622",256,9,208,15,16,-,1,7
"S01007623",250,3,225,14,4,3,-,1
"S01007624",268,7,245,8,3,1,-,4
"S01007625",224,2,209,6,1,-,-,6
"S01007626",269,1,254,5,5,1,-,3
"S01007627",251,-,184,48,11,1,3,4
"S01007628",314,7,247,19,25,3,5,8
"S01007629",286,1,153,30,84,5,8,5
"S01007630",338,6,123,29,145,10,14,11
"S01007631",269,5,24,38,161,20,5,16
"S01007632",437,3,316,53,35,11,2,17
"S01007633",441,2,284,71,44,27,2,11
"S01007634",241,8,30,35,133,15,7,13
"S01007635",321,1,279,11,19,3,-,8
"S01007636",416,4,302,86,9,3,1,11
"S01007637",403,5,333,48,4,1,1,11
"S01007638",373,2,321,35,8,1,1,5
"S01007639",451,5,365,58,9,5,2,7
"S01007640",303,15,34,42,158,24,9,21
"S01007641",369,12,57,113,133,25,14,15
"S01007642",415,10,320,51,15,1,-,18
"S01007643",424,3,372,31,7,3,-,8
"S01007644",384,7,346,9,9,3,-,10
"S01007645",219,10,34,22,117,15,11,10
"S01007646",260,13,43,22,130,33,3,16
"S01007647",361,16,243,55,22,5,3,17
"S01007648",446,8,343,59,14,5,2,15
"S01007649",339,4,240,28,36,14,1,16
"S01007650",420,15,25,63,209,65,5,38
"S01007651",227,12,15,20,131,25,5,19
"S01007652",257,3,15,48,152,24,8,7
"S01007653",378,7,25,60,189,48,12,37
"S01007654",465,16,56,135,137,72,15,34
"S01007655",341,21,27,24,200,28,8,33
"S01007656",358,30,36,44,169,36,9,34
"S01007657",176,5,31,18,95,13,4,10
"S01007658",231,8,32,37,112,16,8,18
"S01007659",366,7,67,62,138,67,11,14
"S01007660",400,-,347,39,2,-,2,10
"S01007661",327,5,247,62,5,-,-,8
"S01007662",493,4,429,39,7,-,-,14
"S01007663",387,1,343,16,11,3,1,12
"S01007664",283,-,249,17,5,2,2,8
"S01007665",275,2,242,19,1,3,1,7
"S01007666",198,-,187,2,3,2,-,4
"S01007667",283,1,258,6,8,2,3,5
"S01007668",468,1,406,37,3,7,2,12
"S01007669",268,4,237,8,3,4,2,10
"S01007670",299,1,231,47,3,4,-,13
"S01007671",289,6,118,6,116,12,11,20
"S01007672",389,5,329,11,36,1,-,7
"S01007673",304,6,221,35,18,9,3,12
"S01007674",376,4,233,98,10,22,-,9
"S01007675",251,6,186,19,23,8,3,6
"S01007676",279,-,82,18,143,11,3,22
"S01007677",201,4,164,15,13,1,-,4
"S01007678",368,6,248,77,14,17,-,6
"S01007679",381,4,273,56,16,13,7,12
"S01007680",386,3,309,19,37,13,1,4
"S01007681",192,2,133,17,21,9,-,10
"S01007682",403,6,339,50,3,-,1,4
"S01007683",301,4,220,70,-,-,1,6
"S01007684",332,7,303,10,2,1,-,9
"S01007685",273,4,252,11,1,-,-,5
"S01007686",320,6,280,31,1,-,-,2
"S01007687",399,16,327,50,1,-,-,5
"S01007688",545,55,269,212,-,-,-,9
"S01007689",288,15,205,59,1,-,-,8
"S01007690",393,19,268,100,1,-,-,5
"S01007691",515,33,227,238,1,-,-,16
"S01007692",434,19,284,118,1,-,1,11
"S01007693",347,60,170,110,-,-,-,7
"S01007694",523,38,298,158,-,-,-,29
"S01007695",614,42,414,134,-,-,1,23
"S01007696",437,42,227,160,1,-,-,7
"S01007697",608,24,427,144,-,-,1,12
"S01007698",589,108,313,150,-,-,-,18
"S01007699",454,58,245,135,2,-,1,13
"S01007700",450,17,356,60,1,1,1,14
"S01007701",318,33,100,173,-,-,4,8
"S01007702",266,21,188,49,-,-,-,8
"S01007703",398,14,325,55,-,-,-,4
"S01007704",517,23,124,360,1,-,3,6
"S01007705",262,28,123,108,-,-,-,3
"S01007706",370,31,173,164,-,-,-,2
"S01007707",465,18,236,206,-,-,1,4
"S01007708",357,30,187,126,2,-,-,12
"S01007709",309,23,139,137,-,-,-,10
"S01007710",450,45,113,288,-,-,-,4
"S01007711",493,20,261,191,-,-,5,16
"S01007712",360,46,155,153,-,-,1,5
"S01007713",229,6,166,41,-,-,1,15
"S01007714",321,17,199,97,2,1,-,5
"S01007715",267,23,113,117,-,-,-,14
"S01007716",598,86,253,244,1,-,2,12
"S01007717",567,71,163,320,-,-,3,10
"S01007718",467,74,295,81,1,-,1,15
"S01007719",651,45,486,99,-,-,1,20
"S01007720",404,4,350,41,-,-,-,9
"S01007721",435,18,278,126,-,-,3,10
"S01007722",548,14,418,92,1,-,-,23
"S01007723",604,23,481,68,1,-,1,30
"S01007724",358,59,200,79,-,-,6,14
"S01007725",498,48,343,91,-,-,-,16
"S01007726",453,61,229,140,-,-,1,22
"S01007727",591,78,281,214,-,-,1,17
"S01007728",414,65,173,163,-,-,-,13
"S01007729",439,64,183,185,-,-,1,6
"S01007730",464,62,259,135,-,-,-,8
"S01007731",396,41,240,106,-,-,-,9
"S01007732",374,26,224,112,-,-,2,10
"S01007733",338,7,297,28,-,-,-,6
"S01007734",384,4,293,80,2,-,-,5
"S01007735",359,17,240,94,1,-,2,5
"S01007736",309,13,266,22,-,-,-,8
"S01007737",554,13,409,117,-,-,1,14
"S01007738",358,2,325,25,1,1,-,4
"S01007739",347,4,283,52,-,-,-,8
"S01007740",265,10,160,94,-,-,-,1
"S01007741",435,11,257,160,-,-,2,5
